uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
201410704C,ACRA,QUAN JI PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-11,2014-04-11,LOCAL,430,UPPER CHANGI ROAD,01,08,EAST VILLAGE,487048,na,na,2020-07-31,2019-07-31,56111,na,na,56122,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410795G,ACRA,QIANN XII PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-14,2014-04-14,LOCAL,625,BUKIT BATOK CENTRAL,06,600,na,650625,na,na,2024-07-31,2023-07-12,46900,na,na,47742,na,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201410868R,ACRA,QISHAN WANFO CONSULTATION PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-14,2014-04-14,LOCAL,45,NORTH CANAL ROAD,01,01,LEW BUILDING,059301,na,na,2017-10-31,2016-07-29,70201,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201411187E,ACRA,QWEST GREEN TECHNOLOGY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-16,2014-04-16,LOCAL,3,ANG MO KIO STREET 62,05,27,LINK@AMK,569139,na,na,2020-10-31,2019-04-11,71123,na,na,74904,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201411255Z,ACRA,QNY ENTERPRISE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-17,2014-04-17,LOCAL,319,UBI AVENUE 1,12,509,KAMPUNG UBI ESTATE,400319,na,na,2025-07-31,2024-07-18,68101,PROPERTY INVESTMENT,na,na,PROPERTY INVESTMENT,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201411398W,ACRA,QS BUSINESS CARE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-21,2014-04-21,LOCAL,352,HOUGANG AVENUE 7,08,727,na,530352,na,na,2025-07-31,2024-07-28,46900,GENERAL TRADING,na,82110,GENERAL TRADING,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201411440C,ACRA,QIYUN INVESTMENT HOLDINGS PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,2014-04-21,2014-04-21,LOCAL,10,ANSON ROAD,11,07,INTERNATIONAL PLAZA,079903,na,na,2025-07-31,2024-10-02,64202,na,na,46900,na,na,13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201411602C,ACRA,Q&H SUNFLY INTERNATIONAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-22,2014-04-22,LOCAL,319A,ANCHORVALE DRIVE,15,76,na,541319,na,na,2017-09-20,2016-05-23,46900,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201411608G,ACRA,QUIET WATERS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-04-23,2014-04-23,LOCAL,84,HILLCREST ROAD,na,na,HILLCREST PARK,288959,na,na,2018-01-31,2016-11-28,10799,"FOOD MANUFACTURING, IMPORT EXPORT OF PRODUCE AND DISTRIBUTION OF FINISHED GOOD",na,na,"FOOD MANUFACTURING, IMPORT EXPORT OF PRODUCE AND DISTRIBUTION OF FINISHED GOOD",na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201411793C,ACRA,QN SOFTWARE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-24,2014-04-24,LOCAL,8,EU TONG SEN STREET,18,81,THE CENTRAL,059818,na,na,2025-10-31,2024-10-29,62012,na,na,62011,na,na,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
