uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
200912697Z,ACRA,XIN JU SHENG (PTE.) LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-14,2009-07-14,LOCAL,1,SOPHIA ROAD,05,03,ONE SOPHIA,228149,na,na,2011-02-14,na,56111,PROVIDING CHINESE DISHES,na,68104,PROVIDING CHINESE DISHES,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200913349K,ACRA,XIN HUA CLEANING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-23,2009-07-23,LOCAL,10,ANSON ROAD,05,17,INTERNATIONAL PLAZA,079903,na,na,2011-02-23,na,81211,CLEANING OF COFFEE SHOP & RESTAURANT,na,na,CLEANING OF COFFEE SHOP & RESTAURANT,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200913543N,ACRA,XIN DE YANG EDUCATION & MANPOWER SERVICES (S) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-25,2009-07-25,LOCAL,9,MARINE VISTA,14,05,NEPTUNE COURT,449033,na,na,2012-01-31,2010-12-22,85509,na,na,70209,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200913563Z,ACRA,XPACER PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-25,2009-07-25,LOCAL,921,TAMPINES STREET 91,09,181,TAMPINES PALMSPRING,520921,na,na,2012-05-26,2011-02-22,96099,RENTING OF RETAIL SPACE WITH SALES SUPPORT,na,73100,RENTING OF RETAIL SPACE WITH SALES SUPPORT,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200913780C,ACRA,XING JIAN CONSTRUCTION PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-07-28,2009-07-28,LOCAL,3015A,UBI ROAD 1,03,07,na,408705,na,na,2017-01-09,2015-09-09,41009,na,na,43301,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200914412G,ACRA,XUAN ZHI YA ENGINEERING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-08-06,2009-08-06,LOCAL,371,BEACH ROAD,02,13,CITY GATE,199597,na,na,2012-10-31,2011-07-29,46900,GENERAL WHOLESALE TRADE (INCLUDING GENERAL IMPORTERS AND & EXPORTERS),na,64202,GENERAL WHOLESALE TRADE (INCLUDING GENERAL IMPORTERS AND & EXPORTERS),na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200914696C,ACRA,XINYA ADVERTISING PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,2009-08-11,2009-08-11,LOCAL,600,NORTH BRIDGE ROAD,05,01,PARKVIEW SQUARE,188778,na,na,2013-01-31,2011-12-06,73100,na,na,na,na,na,8,YR ADVERTISING,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200914924N,ACRA,XPRESS TRAVEL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-08-14,2009-08-14,LOCAL,8,JALAN PISANG,na,na,na,199075,na,na,2011-03-17,na,79102,"TRAVEL AGENCIES, TOUR OPERATORS AND OTHER RELATED ACTIVITIES/SERVICES",na,63204,"TRAVEL AGENCIES, TOUR OPERATORS AND OTHER RELATED ACTIVITIES/SERVICES",na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200915193M,ACRA,XIN LIN INTERNATIONAL TRADING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-08-18,2009-08-18,LOCAL,10,ANSON ROAD,26,04,INTERNATIONAL PLAZA,079903,na,na,2011-03-21,na,46900,na,na,na,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200915437D,ACRA,XU FAAT TRADING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2009-08-21,2009-08-21,LOCAL,105,SIMS AVENUE,09,13,CHANCERLODGE COMPLEX,387429,na,na,2025-07-31,2024-07-12,46452,na,na,46900,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200915486R,ACRA,XIN SHANG ZHOU TRADING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2009-08-21,2009-08-21,LOCAL,27,PAYA LEBAR ROAD,10,06,PAYA LEBAR RESIDENCES,409042,na,na,2026-02-28,2025-01-14,46900,na,na,46100,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
